Název předmětu;Zkr.;Výuka;Sem.
Anglický jazyk pro informatiky;AJAI;Česky;1
Diskrétní struktury;DS;Česky;1
Efektivní komunikace a prezentace;EKP;Česky;1
Fundamentals of Structural Programming;ZSPa;Anglicky;1
Introduction into Computer Networks;PS1a;Anglicky;1
Matematický seminář;MAS1P;Česky;1
Matematika;MAT;Česky;1
Tvorba internetových stránek;TIS;Česky;1
Úvod do počítačových sítí;PS1;Česky;1
Základy strukturovaného programování;ZSP;Česky;1
Architektura počítačů;ARP;Česky;2
Ekonomika podniku;EP;Česky;2
Introduction into Database Systems;DB1a;Anglicky;2
Navazující odborná angličtina pro informatiky;NOAJI;Česky;2
Návrh uživatelských rozhraní;NUR;Česky;2
Objektově orientované programování;OOP;Česky;2
Pokročilejší technologie počítačových sítí;PTPS;Česky;2
Software Engineering;xSWIa;Anglicky;2
Softwarové inženýrství;xSWI;Česky;2
Statistika pro techniky;ST;Česky;2
Úvod do databázových systémů;DB1;Česky;2
Základy akademického psaní;ZAP;Česky;2
Datové struktury a algoritmy;DSA;Česky;3
Elektronické obchodování;EO;Česky;3
Multimedia;xMUMa;Anglicky;3
Multimédia;MUM;Česky;3
Programování technických výpočtů;PTV;Česky;3
Programování v Javě;PJ;Česky;3
Řízení softwarových projektů;RSP;Česky;3
Serverová a desktopová administrace;xSDA;Česky;3
Vývoj a provoz bezpilotních systémů;VPBS;Česky;3
Webové technologie;WT;Česky;3
Bezpečnost a ochrana dat;xBOD;Česky;4
Multimediální a studiová technika;xMST;Česky;4
Návrh a implementace databázových systémů;NIDB;Česky;4
Operační systémy;OPS;Česky;4
Počítačová grafika a virtuální realita;PGVR;Česky;4
Podnikové informační systémy;PIS;Česky;4
Programming Languages and Compilers;PJPa;Anglicky;4
Programovací jazyky a překladače;xPJP;Česky;4
Programování desktopových aplikací;xPDA;Česky;4
Technologie a standardy Průmyslu 4.0;TSP_AI_BC;Česky;5
Artificial Intelligence;UIa;Anglicky;6
Geografické informační systémy;xGIS;Česky;6
Pokročilé programovací techniky;PPT;Česky;6
Programování pro mobilní platformy;xPMP;Česky;6
Umělá inteligence;UI;Česky;6
Zpracování signálu a obrazu;xZSO;Česky;6
